x0,top,text,size,fontname
345.6,98.1, ,10.0,BCDFEE+ArialMT
35.0,111.4,L,10.0,BCDEEE+Arial-BoldMT
41.0,111.4,i,10.0,BCDEEE+Arial-BoldMT
43.7,111.4,b,10.0,BCDEEE+Arial-BoldMT
49.7,111.4,r,10.0,BCDEEE+Arial-BoldMT
53.5,111.4,a,10.0,BCDEEE+Arial-BoldMT
58.9,111.4,r,10.0,BCDEEE+Arial-BoldMT
62.6,111.4,i,10.0,BCDEEE+Arial-BoldMT
65.4,111.4,e,10.0,BCDEEE+Arial-BoldMT
70.9,111.4,s,10.0,BCDEEE+Arial-BoldMT
76.3,111.4,:,10.0,BCDFEE+ArialMT
79.1,111.4, ,10.0,BCDFEE+ArialMT
141.1,111.4,E,10.0,BCDFEE+ArialMT
147.5,111.4,x,10.0,BCDFEE+ArialMT
152.4,111.4,p,10.0,BCDFEE+ArialMT
157.7,111.4,r,10.0,BCDFEE+ArialMT
160.8,111.4,e,10.0,BCDFEE+ArialMT
166.1,111.4,s,10.0,BCDFEE+ArialMT
170.9,111.4,s,10.0,BCDFEE+ArialMT
175.8,111.4,.,10.0,BCDFEE+ArialMT
178.3,111.4,j,10.0,BCDFEE+ArialMT
180.4,111.4,s,10.0,BCDFEE+ArialMT
185.2,111.4,",",10.0,BCDFEE+ArialMT
187.8,111.4, ,10.0,BCDFEE+ArialMT
190.5,111.4,E,10.0,BCDFEE+ArialMT
196.9,111.4,J,10.0,BCDFEE+ArialMT
201.8,111.4,S,10.0,BCDFEE+ArialMT
208.1,111.4,",",10.0,BCDFEE+ArialMT
210.8,111.4, ,10.0,BCDFEE+ArialMT
213.3,111.4,N,10.0,BCDFEE+ArialMT
220.4,111.4,u,10.0,BCDFEE+ArialMT
225.7,111.4,m,10.0,BCDFEE+ArialMT
233.8,111.4,P,10.0,BCDFEE+ArialMT
240.2,111.4,y,10.0,BCDFEE+ArialMT
245.1,111.4,",",10.0,BCDFEE+ArialMT
247.6,111.4, ,10.0,BCDFEE+ArialMT
250.2,111.4,P,10.0,BCDFEE+ArialMT
256.7,111.4,a,10.0,BCDFEE+ArialMT
262.1,111.4,n,10.0,BCDFEE+ArialMT
267.4,111.4,d,10.0,BCDFEE+ArialMT
272.8,111.4,a,10.0,BCDFEE+ArialMT
278.1,111.4,s,10.0,BCDFEE+ArialMT
283.0,111.4,",",10.0,BCDFEE+ArialMT
285.5,111.4, ,10.0,BCDFEE+ArialMT
288.2,111.4,M,10.0,BCDFEE+ArialMT
296.2,111.4,a,10.0,BCDFEE+ArialMT
301.6,111.4,t,10.0,BCDFEE+ArialMT
304.2,111.4,p,10.0,BCDFEE+ArialMT
309.5,111.4,l,10.0,BCDFEE+ArialMT
311.6,111.4,o,10.0,BCDFEE+ArialMT
317.0,111.4,t,10.0,BCDFEE+ArialMT
319.6,111.4,l,10.0,BCDFEE+ArialMT
321.5,111.4,i,10.0,BCDFEE+ArialMT
323.6,111.4,b,10.0,BCDFEE+ArialMT
329.0,111.4,",",10.0,BCDFEE+ArialMT
331.5,110.7, ,11.0,BCDGEE+Georgia
334.1,111.4,T,10.0,BCDFEE+ArialMT
340.0,111.4,k,10.0,BCDFEE+ArialMT
344.9,111.4,i,10.0,BCDFEE+ArialMT
346.9,111.4,n,10.0,BCDFEE+ArialMT
352.3,111.4,t,10.0,BCDFEE+ArialMT
354.9,111.4,e,10.0,BCDFEE+ArialMT
360.2,111.4,r,10.0,BCDFEE+ArialMT
363.4,111.4, ,10.0,BCDFEE+ArialMT
35.0,124.9,T,11.0,BCDEEE+Arial-BoldMT
41.8,124.9,o,11.0,BCDEEE+Arial-BoldMT
48.4,124.9,o,11.0,BCDEEE+Arial-BoldMT
55.0,124.9,l,11.0,BCDEEE+Arial-BoldMT
58.0,124.9,s,11.0,BCDEEE+Arial-BoldMT
64.0,124.9,/,11.0,BCDEEE+Arial-BoldMT
67.0,124.9,P,11.0,BCDEEE+Arial-BoldMT
74.2,124.9,l,11.0,BCDEEE+Arial-BoldMT
77.2,124.9,a,11.0,BCDEEE+Arial-BoldMT
83.2,124.9,t,11.0,BCDEEE+Arial-BoldMT
86.6,124.9,f,11.0,BCDEEE+Arial-BoldMT
90.2,124.9,o,11.0,BCDEEE+Arial-BoldMT
96.8,124.9,r,11.0,BCDEEE+Arial-BoldMT
101.0,124.9,m,11.0,BCDEEE+Arial-BoldMT
110.8,124.9,s,11.0,BCDEEE+Arial-BoldMT
116.8,124.9,:,11.0,BCDFEE+ArialMT
119.7,124.9, ,11.0,BCDFEE+ArialMT
139.8,125.7,G,10.0,BCDFEE+ArialMT
147.5,125.7,i,10.0,BCDFEE+ArialMT
149.5,125.7,t,10.0,BCDFEE+ArialMT
152.2,125.7,",",10.0,BCDFEE+ArialMT
154.8,125.7, ,10.0,BCDFEE+ArialMT
157.6,125.7,G,10.0,BCDFEE+ArialMT
165.4,125.7,i,10.0,BCDFEE+ArialMT
